session_id,user_id,return_user,day_of_week,time_of_day,session_duration,num_pages_viewed,num_items_carted,has_viewed_shipping_info,scroll_depth,cart_value,discount_applied,shipping_fee,free_shipping_eligible,device_type,browser,referral_source,location,if_payment_page_reached,most_viewed_category,abandoned
S1,U328,0,0,0,-0.8618906141981747,-1.6544801050223488,5,0,-0.6483925003852145,0.40832405275635875,0,5.552959584921617,0,0,0,0,0,1,0,1
S2,U58,1,1,1,-1.4200585517606883,-1.6544801050223488,6,0,-0.917876984088769,0.5776440825557964,0,4.919980925828125,0,1,1,1,1,0,1,0
S3,U13,1,2,2,-0.9039980200142941,-1.1064777148706801,9,1,1.468985585857,0.5420982764053438,0,0.0,1,1,2,2,2,0,2,0
S4,U380,0,3,3,0.7871529066005497,-1.1064777148706801,8,0,0.9300166184498909,0.5945982691011938,0,0.0,1,2,0,1,3,1,3,0
S5,U141,0,0,0,1.483393965560106,1.450866772503773,1,0,0.5835365679738922,0.0406600193441331,1,4.624972813284271,0,2,3,3,4,1,3,0
S6,U126,0,3,0,-1.3593455480258183,0.17219452881654637,7,1,-0.10942353297810534,0.6553159029423591,0,5.58724865840025,0,0,3,3,5,1,4,1
S7,U115,0,4,3,-1.2849231563508166,-1.6544801050223488,6,1,0.12156316733922716,0.45725962115925256,1,4.248495242049359,0,1,4,1,6,0,5,0
S8,U72,1,0,3,1.2728569364795088,-0.010472934567343143,3,0,-0.6483925003852145,0.18382096088845554,1,5.236441962829949,0,0,3,0,7,0,5,0
S9,U378,1,4,3,-1.1439123089666026,-0.19314039795123264,1,0,1.3534922356983339,-0.3515945900530497,0,0.0,1,2,4,2,8,0,3,0
S10,U53,1,0,2,1.456954431675566,-1.1064777148706801,7,0,-0.5713969336127703,0.5249190311196644,1,0.0,1,0,3,1,9,1,6,0
S11,U347,0,2,1,-0.5181766736991531,-0.7411427881029011,4,0,0.2755543008841155,0.4072575658593378,0,0.0,1,1,1,0,1,0,5,0
S12,U380,1,5,0,-1.2369402985603548,1.085531845735994,5,0,-0.4559035834541041,0.22448765551888564,0,5.545177444479562,0,2,0,1,10,0,5,1
S13,U457,1,5,1,-1.2721930104064083,-1.4718126416384592,6,0,-0.30191244990921573,0.3962156716348869,0,0.0,1,2,1,0,9,0,1,0
S14,U280,0,4,3,1.403096121910762,1.450866772503773,9,1,0.42954543442900384,0.6622759489623194,0,4.30406509320417,0,1,1,0,11,0,5,0
S15,U45,0,4,0,-1.6159069509054298,-0.010472934567343143,0,0,-1.6108370850407665,-2.8048422010665983,0,5.293304824724492,0,0,4,0,1,0,7,1
S16,U303,0,3,0,-0.7120665888524473,1.2681993091198833,7,0,-1.6878326518132107,0.5160199221587762,0,0.0,1,1,0,2,12,1,5,0
S17,U217,0,6,1,1.4050546059022095,0.5375294555843254,3,0,-1.30285481795099,0.16672924938551406,0,0.0,1,0,0,1,7,0,1,0
S18,U17,0,0,1,0.6030554114044926,1.450866772503773,8,0,-0.417405800067882,0.6141303102391209,0,0.0,1,1,3,1,13,1,7,0
S19,U16,0,0,0,0.15847954534592915,0.5375294555843254,0,0,0.9300166184498909,-2.8048422010665983,0,5.147494476813453,0,1,4,1,14,1,2,1
S20,U48,0,0,2,1.5587955992308318,1.2681993091198833,1,0,1.007012185222335,-0.4808629423658719,0,4.9344739331306915,0,1,0,2,0,1,7,0
S21,U112,1,0,3,-1.5894674170208898,-0.9238102514867906,5,1,-0.9563747674749912,0.28663143978167566,0,5.37989735354046,0,1,0,0,10,1,1,1
S22,U120,0,6,1,-0.3311414525159249,0.17219452881654637,9,0,0.5835365679738922,0.6834009989811447,1,5.19295685089021,0,0,1,1,2,1,8,0
S23,U259,0,3,0,1.1622025909627298,-0.5584753247190116,0,0,-0.417405800067882,-2.8048422010665983,0,5.081404364984463,0,0,2,1,15,0,2,1
S24,U309,0,4,1,1.376656588026222,-0.010472934567343143,3,0,0.08306538395300507,0.11548658351065245,1,4.875197323201151,0,2,0,2,0,1,8,0
S25,U14,0,5,0,-1.2202931846330518,1.2681993091198833,7,0,-1.1873614677923237,0.5467399134241656,0,0.0,1,0,2,4,9,0,0,0
S26,U288,1,6,2,0.8361150063867351,0.9028643823521044,9,0,0.968514401836113,0.6040313488546174,0,5.3471075307174685,0,0,1,1,7,0,3,1
S27,U102,0,2,1,0.18100211124757443,1.450866772503773,4,1,-1.1873614677923237,0.33409229923869593,0,5.402677381872279,0,2,0,1,16,0,2,1
S28,U367,0,6,0,1.1073650392022023,1.6335342358876623,8,1,-1.5338415182683225,0.5225353035547782,0,4.574710978503383,0,2,2,2,17,0,0,0
S29,U333,0,3,1,1.349237812145958,-1.4718126416384592,5,0,1.3534922356983339,0.46990230108736203,1,5.351858133476067,0,0,2,4,18,0,5,0
S30,U360,0,6,0,0.3944768663153428,-1.1064777148706801,0,0,0.8530210516774467,-2.8048422010665983,0,5.602118820879701,0,0,0,4,1,1,7,1
S31,U280,1,6,3,-0.8569944042195562,-1.2891451782545698,5,1,-0.917876984088769,0.41747119685054335,0,0.0,1,0,2,4,14,1,3,0
S32,U215,0,3,0,1.339445392188721,-0.5584753247190116,5,0,-0.5328991502265482,0.3509608756876632,0,5.393627546352362,0,2,0,1,19,1,7,1
S33,U113,0,1,0,1.3139851002999046,1.450866772503773,5,0,-0.917876984088769,0.2563517064816197,0,5.484796933490655,0,0,3,0,20,0,3,1
S34,U230,1,2,0,-0.41241853816099266,-0.010472934567343143,7,0,-0.7253880671576587,0.5464117015156889,1,4.77912349311153,0,0,4,0,12,1,2,0
S35,U302,1,4,0,-1.6775991966360235,-0.5584753247190116,5,1,-1.1873614677923237,0.4808974567607406,0,5.231108616854587,0,2,4,2,17,0,4,0
S36,U143,1,5,3,-1.7079556985034585,-0.3758078613351222,4,0,-0.07092574959188326,0.43701933304306206,1,5.594711379601839,0,2,4,3,21,0,4,1
S37,U415,0,5,2,-1.0156316075267968,-0.7411427881029011,1,1,1.5459811526294442,-0.025827906096212872,0,5.087596335232384,0,1,0,3,12,1,0,0
S38,U446,0,4,3,0.4718369839775157,-1.6544801050223488,3,1,-1.4183481681096561,0.09412995451844969,0,5.4680601411351315,0,2,4,0,22,1,6,1
S39,U4,1,1,2,-0.28315859472546323,-1.1064777148706801,9,0,-0.4559035834541041,0.6050505279554292,0,5.214935757608986,0,1,4,0,21,0,7,0
S40,U389,0,3,2,0.8263225864294981,0.7201969189682149,4,1,1.0455099686085572,0.3136727742043492,0,0.0,1,0,2,0,23,1,4,0
